ASN,Name,RPKI,Total,%
AS38408,경기도안양과천교육지원청,0,56,0.0
AS38410,경기도포천교육지원청,0,55,0.0
AS4040,주식회사 케이티,0,54,0.0
AS9277,에스케이브로드밴드주식회사,0,53,0.0
AS17596,파인에셋서비스 주식회사,0,53,0.0
AS4671,한국통신사업자연합회,0,53,0.0
AS9767,주식회사 디비아이엔씨,0,52,0.0
AS17594,서울외국환중개주식회사,0,52,0.0
AS9853,주식회사 지오레이넷,0,51,0.0
AS10160,케이디디아이코리아(주),40,50,0.8
AS9708,부경대학교,0,49,0.0
AS9964,주식회사 케이티,0,47,0.0
AS45985,삼성에스디에스(주),0,47,0.0
AS38391,경기도김포교육지원청,0,46,0.0
AS38395,경기도광주하남교육지원청,0,45,0.0
AS18157,오에스비저축은행,0,45,0.0
AS9452,고려대학교,0,44,0.0
AS55609,사단법인 금융보안원,0,44,0.0
AS9858,한국인터넷진흥원,0,44,0.0
AS9638,농협중앙회유통전산센터,0,43,0.0
AS10049,SK(주),4,43,0.09302325581395349
AS9698,주식회사 엘지헬로비전,0,43,0.0
AS38403,경기도군포의왕교육지원청,0,43,0.0
AS45374,주식회사 씨씨에스충북방송,0,43,0.0
AS38697,한경국립대학교,0,43,0.0
AS38412,경기도이천교육지원청,0,42,0.0
AS45365,주식회사 엘지헬로비전,0,42,0.0
AS45363,선문대학교,0,42,0.0
AS10186,대한적십자사 혈액관리본부,0,42,0.0
AS38388,(재)한국저작권보호원,0,41,0.0
AS38133,(주)씨엠비충청방송,0,40,0.0
AS38401,경기도안성교육지원청,0,40,0.0
AS38399,경기도여주교육지원청,0,40,0.0
AS17581,미래에셋증권 주식회사,0,40,0.0
AS9842,롯데이노베이트 주식회사,0,39,0.0
AS7625,주식회사 카카오,0,39,0.0
AS9757,(주)씨엠비동대문방송,0,39,0.0
AS38414,경기도시흥교육지원청,0,39,0.0
AS9701,(주)비아웹,0,39,0.0
AS9956,국립공주대학교,0,38,0.0
AS18401,대구대학교,0,38,0.0
AS38660,한국수력원자력(주),0,38,0.0
AS38387,(주)씨엠비세종방송,0,38,0.0
AS38679,한국결제네트웍스 유한회사,0,38,0.0
AS38393,홈플러스 주식회사,1,38,0.02631578947368421
AS9636,엔에이치엔페이코,0,38,0.0
AS9494,한국지능정보사회진흥원,0,37,0.0
AS4792,네이트커뮤니케이션즈 주식회사,0,37,0.0
AS17837,엔에이치엔케이씨피 주식회사,0,37,0.0
AS18033,(주)씨엠비대구방송,0,37,0.0
AS55628,인천광역시경제자유구역청(인천글로벌캠퍼스),0,37,0.0
AS18311,씨엔씨티에너지 주식회사,0,37,0.0
AS17862,강원대학교,0,35,0.0
AS23552,나사렛대학교,0,35,0.0
AS4665,연세대학교,0,35,0.0
AS38405,경기도광명교육지원청,0,35,0.0
AS45382,호스트센터(주),0,35,0.0
AS9764,주식회사 카카오,0,35,0.0
AS3357,주식회사 브이랜24,0,35,0.0
AS9568,한국기계연구원,0,35,0.0
AS9455,(재)한국교육학술정보원,0,34,0.0
AS17856,건양대학교,0,34,0.0
AS18028,경상국립대학교,0,34,0.0
AS18318,주식회사 엘지헬로비전,0,34,0.0
AS38392,경기도양평교육지원청,0,34,0.0
AS45399,한진정보통신(주),0,34,0.0
AS10158,주식회사 카카오,0,34,0.0
AS38426,재단법인 한국농촌경제연구원,0,34,0.0
AS17606,에스엠상선 주식회사,0,34,0.0
AS9637,한국기초과학지원연구원,0,34,0.0
AS9686,성균관대학교,0,32,0.0
AS9782,우송대학교,0,32,0.0
AS7564,한국원자력연구원,0,32,0.0
AS7560,전북대학교,0,32,0.0
AS4663,주식회사 엘림넷,0,32,0.0
AS38413,경기도평생교육진흥원,0,32,0.0
AS9321,한양대학교,0,31,0.0
AS4793,에이치디현대중공업 주식회사,0,31,0.0
AS23982,네이버클라우드 주식회사,0,31,0.0
AS9978,서울시립대학교,0,30,0.0
AS9316,(주)엘지유플러스,0,30,0.0
AS9973,주식회사 비에스아이티씨,0,30,0.0
AS17844,국민연금공단(본점),0,30,0.0
AS9768,주식회사 케이티,0,29,0.0
AS10159,한국항공대학교,0,29,0.0
AS18297,광주과학기술원,0,29,0.0
AS23575,에스케이브로드밴드주식회사,0,29,0.0
AS18023,국립한국해양대학교,0,29,0.0
AS18168,(주)씨엠비수성방송,0,29,0.0
AS9772,(주)전북은행,0,29,0.0
AS10185,주식회사 하나은행,0,28,0.0
AS17873,미래에셋증권 주식회사,0,28,0.0
AS17877,주식회사 케이엑스넥스지,0,28,0.0
AS9523,목원대학교,0,28,0.0
AS9712,주식회사 아이네트,2,28,0.07142857142857142
AS18330,홍익대학교,0,28,0.0
AS38673,(주)KCTV광주방송,0,28,0.0
AS38090,펄어비스,0,28,0.0
AS10167,우리에프아이에스(주),0,27,0.0
AS17575,중앙대학교,0,27,0.0
AS9871,경상북도교육청,0,27,0.0
AS23759,티엠정보통신 주식회사,0,27,0.0
AS38700,주식회사 스마일서브,0,27,0.0
AS38112,주택도시보증공사,0,27,0.0
AS38123,서울아산병원,0,27,0.0
AS10062,브랭섬홀아시아,0,27,0.0
AS45969,(주)케이지이니시스,0,27,0.0
AS9696,오스카엔터프라이즈,0,26,0.0
AS9949,(학)호서대학교,0,26,0.0
AS18026,제주대학교,0,26,0.0
AS46009,주식회사 야베스케이,0,26,0.0
AS55586,가톨릭대학교성심교정,0,26,0.0
AS9527,브이피 주식회사,0,26,0.0
AS23743,한국중부발전,0,26,0.0
AS9947,(주)케이티클라우드,0,26,0.0
AS9271,원광대학교,0,25,0.0
AS9859,충청대학교,0,25,0.0
AS9868,대구가톨릭대학교,0,25,0.0
AS17579,한국과학기술정보연구원,25,25,1.0
AS18337,대구한의대학교,0,25,0.0
AS23668,한국공학대학교,0,25,0.0
AS38093,(주)하나금융티아이,0,25,0.0
AS38116,(주)케이씨티시,0,25,0.0
AS2385,한국생명공학연구원,0,25,0.0
AS55632,세종특별자치시교육청,0,25,0.0
AS23714,계명대학교,0,24,0.0
AS38417,경기도가평교육지원청,0,24,0.0
AS38424,한국케이블텔레콤,0,24,0.0
AS10060,연세의료원,0,24,0.0
AS23601,티시스,0,24,0.0
AS23588,(주)카카오 엔터프라이즈,0,24,0.0
AS23581,에스케이하이닉스(주),0,23,0.0
AS18035,한서대학교,0,23,0.0
AS17593,주식회사 엔디에스,0,23,0.0
AS38100,(주)케이지이니시스,0,23,0.0
AS18160,주식회사 카카오,0,23,0.0
AS9576,숙명여자대학교,0,22,0.0
AS10053,연성대학교,0,22,0.0
AS10073,한국방송통신대학교,0,22,0.0
AS9774,동서대학교,0,22,0.0
AS17584,인천광역시교육청,0,22,0.0
AS17845,(재)경기테크노파크,0,22,0.0
AS18164,국립목포대학교,0,22,0.0
AS38695,부천대학교,0,22,0.0
AS46004,에스케이브로드밴드주식회사,0,22,0.0
AS10035,현대백화점,0,22,0.0
AS38089,주식회사 케이뱅크,0,22,0.0
AS17613,KTE정보통신,0,22,0.0
AS5051,주식회사 케이티,0,21,0.0
AS18328,주식회사 닷네임코리아,0,21,0.0
AS23600,한국인터넷진흥원,2,21,0.09523809523809523
AS38416,연천교육지원청,0,21,0.0
AS9860,국민건강보험공단,0,21,0.0
